title,rating,date,body,sentiment,category,month_year,satisfied
Je n'ai pratiquement jamais eu de…,5,2024-06-21,"Je n'ai pratiquement jamais eu de soucis avec les vendeurs et acheteurs de ce site. Et lorsque j'en ai eu, Rakuten a été très réactif donc rien à redire. J'y vais toujours avec plaisir et avec un sentiment de sécurité en cas de problème. :)",Positive,Customer Service,2024-06,1
avis très favorable,5,2024-06-27,"bonjour, site de confiance, les vendeurs sont fiables, dans leur description des livres et dvd, jusqu'à maintenant jamais déçus et toujours reçu dans un état pratiquement neuf. merçi à vous.",Positive,Marketplace,2024-06,1
Les ventes ou les achats sur l'avis sur mes ventes site…,5,2024-06-20,"Les ventes ou les achats sur le site sont très intéressantes je suis abonné depuis 2013 et très satisfait sur mes ventes d,objets et aussi sur mes achat je recommande ",Positive,Customer Service,2024-06,1
Achats réguliers de livres d'occasion…,5,2024-06-20,"Achats réguliers de livres d'occasion sur le site, beaucoup de choix à des prix différents.
Toujours satisfaite par l'état des livres, qui correspond à tout point de vue à ce qui est décrit sur le site.",Positive,Marketplace,2024-06,1
Procédure d'achat simple et claire,5,2024-06-28,"Procédure d'achat simple et claire. Le vendeur a expédié un produit conforme et bien emballé, parvenu dans un délai satisfaisant. Que du bon.",Positive,Shipping,2024-06,1
Ma commande n'a été que partiellement…,4,2024-06-20,"Ma commande n'a été que partiellement honorée en raison de la défaillance d'un vendeur. L'équipe de Rakuten a été prompte à comprendre le souci, les échanges ont été fructueux. Finalement j'ai été remboursé rapidement. Belle efficacité.",Positive,Customer Service,2024-06,1
Tous c'est bien déroulé pour un prix en…,5,2024-06-21,"Tous c'est bien déroulé pour un prix en dessous des autres sites, le traitement de la commande et l'expédition ont été rapide, 5 jours si je ne me trompe pas. Je suis pleinement satisfait.",Positive,Customer Service,2024-06,1
J'ai acheté un livre d'occasion,5,2024-06-20,J'ai acheté un livre d'occasion. bonne expérience d'achat ! Envoi rapide en mondial relay. Le livre était dans l'état indiqué ,Positive,Shipping,2024-06,1
Le livre que j'ai commandé est…,5,2024-06-21,"Le livre que j'ai commandé est impeccable
La livraison a été rapide. La commande est facile à passer. Si besoin une personne vous répond par téléphone .
",Positive,Electronics,2024-06,1
Beaucoup de choix en tant qu'acheteur…,4,2024-06-21,"Beaucoup de choix en tant qu'acheteur et en grande majorité satisfait des transactions.
En tant que vendeur quelquefois le délai entre la réception du colis par l'acheteur et le règlement est trop long car l'acheteur ne confirme pas la réception de sa commande ",Positive,Customer Service,2024-06,1
Contrefaçon et SAV Lent ,3,2024-06-20,"Le système d’achat est bien, mais parfois les vendeurs sont des particuliers qui nous fournisse des contrefaçon (faux AirPod Pro 2)
Bon site mais faite attention à ce que vous achetez, car le service client est très mais TRES lent, à l’heure actuel je n’ai toujours pas eu dédommagement de mon arnaque ",Neutral,Customer Service,2024-06,0
problème de commande,2,2024-06-21,J'ai récemment passé une commande de 7 livres chez Rakuten : un vendeur annulle la vente de deux livres et j'ai déposé une réclamation pour deux autres dont l'un n'est jamais arrivé et j'ai du renvoyer l'autre qui ne correspondait pas à ce qui était affiché. J'attends le remboursement pour ces deux derniers livres. Celà fait beaucoup : 3 livres correctement arrivés pour une commande de 7 livres.,Positive,Customer Service,2024-06,0
Article envoyé rapidement,5,2024-06-28,"Article envoyé rapidement, très bien emballé et protégé et conforme à la description faite par le vendeur ! Très satisfait de cette commande !",Positive,Customer Service,2024-06,1
Licence reçue le jour même.,5,2024-06-21,"Licence reçue le jour même.
J'ai dû utiliser l'activation par téléphone,qui à fonctionné. Win 10 est activé.",Positive,Electronics,2024-06,1
le premier colis a ete perdu par la…,5,2024-06-21,le premier colis a ete perdu par la poste mais ils ont immédiatement renvoyé un autre exemplaire...impec,Positive,Shipping,2024-06,1
Satisfaction.,5,2024-06-27,"Rien d'extraordinaire j'ai trouvé l'article que je recherchais  à un prix avantageux j'ai passé commande et à la date prévue j'ai reçu ma commande en bon état donc tout est bien,merci.",Positive,Customer Service,2024-06,1
Un défaut dans l'objectif,1,2024-06-27,"Un défaut dans l'objectif. Je l'ai signalé hier. Après un échange avec le vendeur, je présume,  il me demande de le lui expédier l'objectif et une fois reçu il me l'echangerait. J'ai appelé un numéro de téléphone qu'il a mis sur Rakuten,  il n'a pas répondu mais il envoie un message avec un numéro de téléphone,  j'appelle ce dernier numéro et le monsieur que j'ai eu au téléphone n'est au courant de rien du tout ",Neutral,Electronics,2024-06,0
RAKUTEN C EST ZEN!,4,2024-06-17,"Rakuten est une plateforme d achat en ligne tres sérieuse!Le service est rapide et de qualité.
Les vendeurs sont choisis et les produits vendus correspondent vraiment au descriptif.",Positive,Customer Service,2024-06,1
Je suis très satisfait de Rakuten que…,5,2024-06-17,Je suis très satisfait de Rakuten que je considère bien plus attractif que Amazon. Le service client est très réactif et les prix sont très intéressants !,Positive,Customer Service,2024-06,1
en toutes confiance ,5,2024-06-27,"il est bien de redonner vie a toutes objets et lui permettre de circuler dans d'autres mains .c'est se que j'aime  chez Rakuten France .je me sert beaucoup de cette plateforme  pour vendre ou acheter des livres ,cd. Les rapport y sont courtois  et bienveillant .merci a cette belle équipes",Positive,Uncategorized,2024-06,1
Expédition rapide et les 2 albums reçus…,5,2024-06-27,"Expédition rapide et les 2 albums reçus sont en excellent état. Je suis très satisfait et je recommande ce vendeur.
Hervé Le ster",Positive,Customer Service,2024-06,1
Vraiment décevant.,2,2024-06-20,"Rien a redire quand on est un acheteur, mais quand on est vendeur c'est de moins en moins rentable pour certains articles. La comission est vraiment excessive et bien souvent les frais de ports demandé a l'acheteur ne couvre pas les frais réels... J'ai fermé ma boutique depuis un bon moment.",Negative,Marketplace,2024-06,0
Livre reçu et conforme à la…,5,2024-06-28,Livre reçu et conforme à la description. Livraison un peu plus longue qu'un autre livre commandé en même temps mais plus rapide qu'annoncé sur le site.  ,Positive,Shipping,2024-06,1
Avis sur rakuten ,5,2024-06-28,Je n'ai jamais eu de problème avec rakuten sur mes commandes donc je le recommande à tout le monde sans problème 👍🏻😁,Positive,Customer Service,2024-06,1
Le jeux reçu est chinois,1,2024-06-27,"Le jeux que j’ai acheter est chinois apparament , impossible à remettre en français et rien n’étais indiqué dans l’annonce …
Un jeu acheter 45 euros a 3 mois du nouvelle opus
Une demande de remboursement est faite a Rakuten, demande qui a étais refusé car j’avais noté le vendeur sur la « bonne réception du coli » 
Je me retrouve à payer presque 50 euros pour un jeu chinois que je ne peut en aucun cas remettre en français… donc pas jouer.
 Payer un jeu plein pot, le recevoir en chinois, demander un remboursement auprès du site concernée et la demande qui n’est pas acorder… une honte ! 
Si c’est ça Rakuten..je ne parlerai pas chinois pour dire qu’ils ne me verront plus JAMAIS
Site À FUIR !!!!!
Première et dernière expérience avec des incompétents",Negative,Customer Service,2024-06,0
Rakuten respecte toujours ses…,5,2024-06-28,"Rakuten respecte toujours ses engagements 
Je n'ai jamais été déçu à chaque achat de livres",Positive,Uncategorized,2024-06,1
Site ergonomique avec un large choix,5,2024-06-12,"Site ergonomique avec un large choix, une très bonne information et une excellente mise en relation client vendeur. ",Positive,Marketplace,2024-06,1
L'achat du Xiaomi redmi note 13 pro…,5,2024-06-20,"L'achat du Xiaomi redmi note 13 pro plus se révèle une bonne affaire...
Le temps de livraison a été respecté ",Positive,Shipping,2024-06,1
Site strictement franco-français: impossible pour un pays voisin de faire un achat !,1,2024-06-15,"On déplore totalement l'impossibilité pour un pays voisin de faire un achat sur Rakuten. Il est possible pour un belge de s'inscrire. Mais il est impossible d'acheter. Le site n'intègre pas des transporteurs européens classiques, comme par ex MR. Où est la logique ? A l'heure de l'Europe, il faudrait quand même voir un peu plus loin que la frontière...",Negative,Marketplace,2024-06,0
Très satisfaite,5,2024-06-25,Commande reçue rapidement. Objets en très bon état. Apprécié le petit cadeau du vendeur. ,Positive,Customer Service,2024-06,1
Prix attractif (produit iPad d'Apple),5,2024-06-28,"Prix attractif (produit iPad d'Apple), et livré dans les délais annoncés lors de la commande 👍",Positive,Customer Service,2024-06,1
La commande est vite arrivé après la…,5,2024-06-20,La commande est vite arrivé après la commande 2 jour après je l avait je suis très satisfaite de mon matelas ,Positive,Customer Service,2024-06,1
Super ,5,2024-06-27,"Envoi rapide
Portable en parfait état....aspect neuf aucun défaut...100%batterie
Très content ",Positive,Shipping,2024-06,1
Que soit la recherche sur votre page ou…,5,2024-06-26,"Que soit la recherche sur votre page ou bien la commande et la livraison, de bout en bout tout a été simple, correct et rapide",Positive,Customer Service,2024-06,1
Mise en relation avec un vendeur tiers…,5,2024-06-21,"Mise en relation avec un vendeur tiers de confiance aux tarifs compétitifs.
",Positive,Uncategorized,2024-06,1
Le systeme des Rakutens Points est…,2,2024-06-28,"Le systeme des Rakutens Points est devenu ridicule. Plus aucun interet à ce site.
Des frais supplementaires pour les achats d’occasion…
1% de points pour les produits Apple ou de grande marque.
0% meme dans certains cas.

Il est loin le temps des 5 a 7% minimum.",Neutral,Marketplace,2024-06,0
Parfait,5,2024-06-18,"Toujours très satisfaite de Rakuten. 
Très bon produit avec une housse de protection et une peau de chamois en prime.",Positive,Marketplace,2024-06,1
Rapide et surtout le prix payé edt…,5,2024-06-19,Rapide et surtout le prix payé edt maintenu en attente de la livraison et satisfaction du client.,Positive,Customer Service,2024-06,1
Presque la commande à étais parfait le…,5,2024-06-28,Presque la commande à étais parfait le ps5 vraiment une qualité et très satisfait ,Positive,Customer Service,2024-06,1
Superbe…,5,2024-06-27,Tous les articles en parfait état...rapide...des petits mots gentils accompagnant ceux ci,Positive,Marketplace,2024-06,1
Produit conforme ,5,2024-06-28,"Livraison rapide, en bon état, produit conforme à la description de l’annonce",Positive,Shipping,2024-06,1
Très bien sans mauvaise surprise.,5,2024-06-19,"C'est pas la première fois que je commande chez vous et je reste toujours satisfait. Délais de livraison un peu plus long cette fois mais produit très bien. Continuez ainsi.
Merci.",Positive,Customer Service,2024-06,1
J'ai commandé 2 livres le même jour…,4,2024-06-27,"J'ai commandé 2 livres le même jour j'ai reçu le 1er très rapidement mais le 2e a mis plus de temps. Sinon les ouvrages sont en très bon état comme la description ! 
Je recommande car je n'ai jamais eu de problème.
Merci",Positive,Customer Service,2024-06,1
Commande tablettes,5,2024-06-20,"Sur mes 2 dernières commandes la première qui s'est perdue m'a été remboursée rapidement et la seconde pour remplacer la première est arrivée rapidement 
",Positive,Customer Service,2024-06,1
un achat correspondant à ce qui était…,5,2024-06-20,un achat correspondant à ce qui était annoncé. Reçu dans les meilleurs délais.,Positive,Shipping,2024-06,1
Sérieux,5,2024-06-27,"Site sérieux pour l'achat que j'ai eu à faire.
J'y reviendrai très probablement pour un prochain achat.",Positive,Marketplace,2024-06,1
Le site est bien fait,5,2024-06-19,"Le site est bien fait. Le processus de résolution des problèmes est clair, juste et efficace. ",Positive,Customer Service,2024-06,1
Ce coupe ongle est vraiment parfait,5,2024-06-21,Ce coupe ongle est vraiment parfait. Merci beaucoup. Merci beaucoup au vendeur. ,Positive,Uncategorized,2024-06,1
